ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,vader_score,sentiment_category,complaint_theme
616,729,16,2024-09-04,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
619,695,2,2024-01-13,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
621,339,15,2023-11-29,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
625,749,17,2024-03-09,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
631,76,1,2024-06-05,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
639,790,5,2024-06-28,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
644,204,3,2023-06-27,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
648,111,6,2024-12-26,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
650,506,15,2024-04-07,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
658,234,10,2024-08-12,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
662,476,4,2024-03-18,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
678,791,2,2024-04-11,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
691,515,1,2023-11-03,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
703,120,13,2023-09-19,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
709,111,8,2024-06-08,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
717,174,10,2023-10-08,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
729,882,10,2023-09-04,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
733,767,8,2023-08-09,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
735,947,4,2024-03-27,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
742,700,9,2023-10-04,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
750,903,11,2024-10-24,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
751,565,14,2023-12-17,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
761,708,17,2024-06-17,1,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
776,965,11,2024-04-11,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
779,899,2,2024-06-18,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
783,395,18,2024-07-19,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
791,796,3,2024-05-20,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
796,17,2,2024-08-31,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
803,198,3,2024-06-05,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
812,691,15,2023-08-02,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
815,465,3,2023-04-20,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
830,961,4,2024-02-11,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
841,180,17,2024-09-29,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
862,510,14,2024-03-24,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
872,24,13,2023-03-04,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
891,444,18,2023-05-31,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
898,176,5,2023-02-21,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
902,27,13,2023-07-14,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
903,83,5,2023-03-02,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
911,31,18,2024-12-16,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
934,708,13,2023-12-29,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
935,411,16,2023-11-22,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
939,704,7,2023-12-27,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
941,630,11,2023-12-07,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
948,562,11,2023-07-30,1,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
961,702,18,2023-11-21,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
985,807,12,2024-05-25,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
990,151,14,2023-09-17,1,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
991,257,9,2023-06-15,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
1002,5,7,2023-08-14,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1005,141,8,2023-11-09,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1008,84,7,2023-04-13,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
1009,539,15,2024-05-27,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
1016,465,9,2024-10-06,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1018,923,7,2024-01-07,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1047,475,13,2023-03-20,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1069,428,7,2024-02-27,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1072,654,15,2023-03-06,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1077,561,13,2023-02-07,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
1088,451,2,2024-12-06,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1090,284,2,2024-01-13,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1098,342,18,2023-07-02,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1099,382,1,2023-03-03,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1101,341,1,2023-09-11,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
1113,400,4,2024-12-15,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1116,622,11,2023-08-03,1,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
1117,803,6,2024-06-14,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1134,261,12,2024-07-26,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
1138,357,16,2024-08-22,1,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
1139,138,15,2024-07-05,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1145,254,13,2023-02-09,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1149,422,5,2023-11-01,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
1150,476,5,2023-11-13,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
1174,428,10,2024-08-01,1,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1187,807,1,2024-08-09,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
1200,386,16,2023-05-19,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1202,920,15,2023-02-11,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
1231,807,4,2023-12-21,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
1233,777,3,2023-11-21,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1236,17,16,2024-02-09,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
1241,437,1,2023-11-07,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1249,805,11,2024-11-02,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1253,289,5,2023-04-19,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1270,962,9,2024-06-25,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
1274,169,6,2023-05-29,2,The product broke after just one week of use.,-0.4215,Negative,Product Performance
1289,908,12,2023-10-02,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative,Other
1296,973,4,2023-01-06,1,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
1299,123,5,2023-02-09,2,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
1300,576,4,2024-11-19,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative,Product Performance
1314,48,10,2023-11-13,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative,Unmet Expectations
1321,968,2,2023-02-21,2,"Average product, nothing special about it.",-0.3089,Negative,Unmet Expectations
1363,362,14,2023-01-16,1,Disappointed with the performance of this item.,-0.4767,Negative,Unmet Expectations
