ReviewID,CustomerID,ProductID,ReviewDate,Rating,ReviewText,vader_score,sentiment_category
116,544,4,2024-08-29,2,The product broke after just one week of use.,-0.4215,Negative
117,738,12,2023-01-12,3,"Product is okay, nothing special but does the job.",-0.0462,Neutral
118,771,3,2023-08-06,3,"Product is okay, nothing special but does the job.",-0.0462,Neutral
119,287,14,2024-12-29,5,"Excellent product, works exactly as described.",0.5719,Positive
120,914,14,2024-01-15,4,"Fantastic product, my whole family loves it.",0.8074,Positive
121,349,13,2024-05-18,2,"Product quality is average at best, not worth the price.",0.5475,Mixed Positive
122,274,1,2023-05-08,3,Decent quality but delivery took longer than expected.,0.0,Neutral
123,385,14,2023-02-01,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
124,440,4,2023-07-31,5,"Top quality item, very satisfied with my order.",0.5984,Positive
125,746,6,2024-02-01,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
126,92,17,2024-04-28,4,"Excellent product, works exactly as described.",0.5719,Positive
127,806,18,2023-05-25,5,"Top quality item, very satisfied with my order.",0.5984,Positive
128,636,8,2023-10-20,4,"Top quality item, very satisfied with my order.",0.5984,Positive
129,436,10,2023-07-19,1,"Product quality is average at best, not worth the price.",0.5475,Mixed Positive
130,272,10,2024-07-07,5,"Top quality item, very satisfied with my order.",0.5984,Positive
131,683,14,2023-11-16,5,"Amazing value for money, will buy again.",0.7351,Positive
132,883,17,2024-01-08,5,"Fantastic product, my whole family loves it.",0.8074,Positive
133,648,7,2024-07-10,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
134,561,7,2023-06-22,5,"Fantastic product, my whole family loves it.",0.8074,Positive
135,322,14,2024-11-27,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
136,586,13,2023-07-23,1,The quality does not meet expectations I had.,0.0,Neutral
137,574,11,2024-06-01,4,"Top quality item, very satisfied with my order.",0.5984,Positive
138,637,10,2024-10-14,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
139,837,2,2024-01-20,5,"Excellent product, works exactly as described.",0.5719,Positive
140,782,4,2023-07-31,4,"Amazing value for money, will buy again.",0.7351,Positive
141,320,2,2023-03-15,2,Delivery was slow and product did not match the description.,0.0,Neutral
142,846,15,2024-06-06,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
143,53,9,2024-12-29,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative
144,66,13,2023-07-03,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative
145,497,14,2024-10-19,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
146,652,5,2023-09-18,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
147,378,7,2023-11-30,4,"Fantastic product, my whole family loves it.",0.8074,Positive
148,428,18,2023-09-12,5,"Fantastic product, my whole family loves it.",0.8074,Positive
149,93,6,2023-08-16,5,"Fantastic product, my whole family loves it.",0.8074,Positive
150,587,5,2023-05-02,4,"Amazing value for money, will buy again.",0.7351,Positive
151,706,5,2023-04-21,5,"Amazing value for money, will buy again.",0.7351,Positive
152,796,11,2024-12-19,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
153,196,12,2024-02-03,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
154,331,2,2024-02-05,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
155,726,10,2023-09-08,5,"Amazing value for money, will buy again.",0.7351,Positive
156,992,16,2024-08-25,5,"Excellent product, works exactly as described.",0.5719,Positive
157,891,2,2024-10-26,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
158,377,15,2023-10-30,3,Decent quality but delivery took longer than expected.,0.0,Neutral
159,454,15,2024-02-19,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
160,163,17,2024-01-14,4,"Fantastic product, my whole family loves it.",0.8074,Positive
161,944,17,2023-07-26,5,"Amazing value for money, will buy again.",0.7351,Positive
162,553,12,2024-10-15,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
163,63,5,2023-06-12,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
164,701,14,2024-12-24,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
165,821,10,2024-08-24,4,"Fantastic product, my whole family loves it.",0.8074,Positive
166,645,6,2023-05-02,1,Disappointed with the performance of this item.,-0.4767,Negative
167,349,6,2023-09-27,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
168,506,1,2024-03-12,2,Delivery was slow and product did not match the description.,0.0,Neutral
169,848,11,2023-09-24,5,"Excellent product, works exactly as described.",0.5719,Positive
170,326,12,2023-01-02,4,"Amazing value for money, will buy again.",0.7351,Positive
171,524,5,2024-05-13,5,"Amazing value for money, will buy again.",0.7351,Positive
172,364,16,2024-02-27,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
173,890,15,2023-08-03,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
174,499,14,2024-02-02,5,"Amazing value for money, will buy again.",0.7351,Positive
175,422,2,2023-09-01,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
176,711,4,2024-08-14,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
177,575,8,2024-02-24,4,"Excellent product, works exactly as described.",0.5719,Positive
178,390,18,2024-02-18,4,"Amazing value for money, will buy again.",0.7351,Positive
179,426,1,2024-02-10,5,"Amazing value for money, will buy again.",0.7351,Positive
180,946,15,2023-07-29,5,"Amazing value for money, will buy again.",0.7351,Positive
181,130,9,2023-02-10,5,"Excellent product, works exactly as described.",0.5719,Positive
182,129,5,2024-10-28,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
183,804,4,2023-06-14,1,"Not satisfied, expected much better quality.",0.1451,Mixed Positive
184,953,10,2024-06-28,4,"Top quality item, very satisfied with my order.",0.5984,Positive
185,367,1,2024-03-24,5,"Fantastic product, my whole family loves it.",0.8074,Positive
186,367,2,2023-10-12,4,"Fantastic product, my whole family loves it.",0.8074,Positive
187,704,15,2023-10-13,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
188,916,13,2023-11-19,1,"Overpriced for what you get, very average performance.",0.0,Neutral
189,704,7,2024-03-04,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
190,793,14,2023-01-03,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
191,280,14,2024-02-09,3,Decent quality but delivery took longer than expected.,0.0,Neutral
192,163,16,2024-07-18,4,"Fantastic product, my whole family loves it.",0.8074,Positive
193,939,1,2023-11-24,5,"Amazing value for money, will buy again.",0.7351,Positive
194,263,12,2024-09-28,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
195,691,5,2024-03-28,4,"Fantastic product, my whole family loves it.",0.8074,Positive
196,903,14,2023-02-13,4,"Fantastic product, my whole family loves it.",0.8074,Positive
197,145,16,2023-12-18,4,"Top quality item, very satisfied with my order.",0.5984,Positive
198,727,9,2023-06-06,1,The product broke after just one week of use.,-0.4215,Negative
199,625,4,2023-04-02,5,"Top quality item, very satisfied with my order.",0.5984,Positive
200,842,17,2024-11-03,5,"Amazing value for money, will buy again.",0.7351,Positive
201,212,7,2024-08-15,2,"Average product, nothing special about it.",-0.3089,Negative
202,421,2,2024-10-14,5,"Amazing value for money, will buy again.",0.7351,Positive
203,182,14,2024-02-04,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
204,225,16,2023-03-05,3,Quality is acceptable but expected better for this price.,0.6705,Mixed Positive
205,877,8,2023-04-16,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
206,737,7,2023-04-28,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
207,237,11,2024-06-25,2,The quality does not meet expectations I had.,0.0,Neutral
208,818,14,2024-05-10,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
209,518,3,2023-05-17,5,"Amazing value for money, will buy again.",0.7351,Positive
210,456,7,2023-03-08,2,"Poor performance, would not recommend this to anyone.",-0.6381,Negative
211,541,13,2024-12-20,5,"Amazing value for money, will buy again.",0.7351,Positive
212,908,5,2024-02-29,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
213,998,11,2023-03-01,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
214,917,6,2024-01-31,5,"Amazing value for money, will buy again.",0.7351,Positive
215,768,2,2024-12-20,1,"Average product, nothing special about it.",-0.3089,Negative
216,544,5,2024-06-06,5,"Top quality item, very satisfied with my order.",0.5984,Positive
217,693,18,2024-09-25,2,"Average product, nothing special about it.",-0.3089,Negative
218,659,10,2023-02-04,4,"Amazing value for money, will buy again.",0.7351,Positive
219,927,9,2023-09-19,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
220,511,17,2023-02-19,5,"Top quality item, very satisfied with my order.",0.5984,Positive
221,426,16,2024-02-14,5,"Amazing value for money, will buy again.",0.7351,Positive
222,45,3,2024-12-15,5,"Excellent product, works exactly as described.",0.5719,Positive
223,347,9,2023-04-20,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
224,135,11,2023-04-01,5,"Amazing value for money, will buy again.",0.7351,Positive
225,541,10,2023-12-10,4,"Excellent product, works exactly as described.",0.5719,Positive
226,369,6,2023-03-18,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
227,398,4,2023-07-11,5,"Top quality item, very satisfied with my order.",0.5984,Positive
228,625,8,2023-07-02,5,"Amazing value for money, will buy again.",0.7351,Positive
229,305,11,2023-03-09,2,"Not satisfied, expected much better quality.",0.1451,Mixed Positive
230,985,9,2023-01-12,4,"Amazing value for money, will buy again.",0.7351,Positive
231,918,14,2023-04-03,4,"Amazing value for money, will buy again.",0.7351,Positive
232,82,18,2024-12-17,5,"Fantastic product, my whole family loves it.",0.8074,Positive
233,315,16,2024-01-29,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
234,888,11,2024-05-29,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
235,901,10,2023-02-11,5,"Excellent product, works exactly as described.",0.5719,Positive
236,491,15,2023-11-29,5,"Excellent product, works exactly as described.",0.5719,Positive
237,417,3,2024-11-11,5,"Fantastic product, my whole family loves it.",0.8074,Positive
238,956,2,2023-10-20,3,"Product is okay, nothing special but does the job.",-0.0462,Neutral
239,814,2,2024-03-23,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
240,89,14,2024-10-09,5,"Amazing value for money, will buy again.",0.7351,Positive
241,237,8,2024-06-14,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
242,619,4,2024-08-22,4,"Fantastic product, my whole family loves it.",0.8074,Positive
243,459,5,2023-12-15,5,"Top quality item, very satisfied with my order.",0.5984,Positive
244,618,5,2023-09-11,5,"Excellent product, works exactly as described.",0.5719,Positive
245,840,5,2024-05-09,5,"Excellent product, works exactly as described.",0.5719,Positive
246,846,7,2024-07-30,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
247,390,15,2024-08-08,1,"Average product, nothing special about it.",-0.3089,Negative
248,619,9,2023-10-26,2,The quality does not meet expectations I had.,0.0,Neutral
249,508,1,2024-10-24,5,"Top quality item, very satisfied with my order.",0.5984,Positive
250,775,18,2023-11-27,5,"Top quality item, very satisfied with my order.",0.5984,Positive
251,956,9,2024-03-10,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
252,795,12,2024-12-22,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
253,373,18,2023-07-23,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
254,375,16,2024-05-28,5,"Amazing value for money, will buy again.",0.7351,Positive
255,262,6,2023-08-01,5,"Amazing value for money, will buy again.",0.7351,Positive
256,158,16,2024-06-15,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
257,757,14,2024-08-26,5,"Amazing value for money, will buy again.",0.7351,Positive
258,209,1,2024-09-11,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
259,685,13,2023-04-21,2,"Overpriced for what you get, very average performance.",0.0,Neutral
260,806,14,2023-05-28,5,"Amazing value for money, will buy again.",0.7351,Positive
261,633,3,2023-04-18,4,"Amazing value for money, will buy again.",0.7351,Positive
262,238,4,2023-10-30,1,The product broke after just one week of use.,-0.4215,Negative
263,142,9,2024-04-01,5,"Fantastic product, my whole family loves it.",0.8074,Positive
264,374,8,2024-01-05,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
265,349,14,2023-02-07,4,"Amazing value for money, will buy again.",0.7351,Positive
266,195,1,2023-09-22,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
267,34,18,2023-04-29,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
268,507,1,2023-06-23,2,"Product quality is average at best, not worth the price.",0.5475,Mixed Positive
269,657,13,2024-09-08,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative
270,300,8,2023-02-13,1,The quality does not meet expectations I had.,0.0,Neutral
271,868,10,2024-05-03,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
272,124,12,2024-08-22,2,Delivery was slow and product did not match the description.,0.0,Neutral
273,822,3,2024-07-08,5,"Fantastic product, my whole family loves it.",0.8074,Positive
274,282,8,2024-06-01,4,"Amazing value for money, will buy again.",0.7351,Positive
275,547,13,2024-08-05,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
276,306,16,2024-08-10,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
277,152,16,2023-04-14,5,"Great quality and fast delivery, highly recommend.",0.7841,Positive
278,729,5,2023-02-12,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
279,184,1,2023-10-15,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
280,847,17,2023-05-24,3,Decent quality but delivery took longer than expected.,0.0,Neutral
281,325,11,2023-10-24,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
282,119,8,2023-12-23,5,"Excellent product, works exactly as described.",0.5719,Positive
283,28,13,2023-03-27,4,"Excellent product, works exactly as described.",0.5719,Positive
284,415,12,2023-04-29,5,"Top quality item, very satisfied with my order.",0.5984,Positive
285,842,8,2023-06-12,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
286,235,13,2024-07-02,5,"Amazing value for money, will buy again.",0.7351,Positive
287,123,6,2024-06-21,5,"Excellent product, works exactly as described.",0.5719,Positive
288,943,1,2024-11-17,4,"Excellent product, works exactly as described.",0.5719,Positive
289,565,15,2023-09-03,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
290,450,11,2024-05-04,5,"Excellent product, works exactly as described.",0.5719,Positive
291,246,14,2023-03-14,2,"Overpriced for what you get, very average performance.",0.0,Neutral
292,454,2,2024-04-09,4,"Top quality item, very satisfied with my order.",0.5984,Positive
293,772,3,2024-02-17,3,Decent quality but delivery took longer than expected.,0.0,Neutral
294,500,12,2024-12-13,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
295,350,16,2023-03-17,3,Quality is acceptable but expected better for this price.,0.6705,Mixed Positive
296,873,7,2023-03-12,5,"Fantastic product, my whole family loves it.",0.8074,Positive
297,232,1,2024-07-11,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
298,309,17,2023-01-20,4,"Amazing value for money, will buy again.",0.7351,Positive
299,511,9,2023-07-13,3,Decent quality but delivery took longer than expected.,0.0,Neutral
300,115,18,2023-02-02,5,"Top quality item, very satisfied with my order.",0.5984,Positive
301,228,9,2024-01-07,2,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative
302,466,13,2023-07-18,5,"Fantastic product, my whole family loves it.",0.8074,Positive
303,907,4,2024-07-09,3,Decent quality but delivery took longer than expected.,0.0,Neutral
304,109,4,2023-09-17,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
305,960,1,2023-10-11,4,"Excellent product, works exactly as described.",0.5719,Positive
306,573,2,2023-06-16,5,"Amazing value for money, will buy again.",0.7351,Positive
307,845,4,2024-04-23,2,Delivery was slow and product did not match the description.,0.0,Neutral
308,23,1,2024-02-01,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
309,972,16,2023-04-15,5,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
310,681,2,2024-10-24,4,"Fantastic product, my whole family loves it.",0.8074,Positive
311,864,14,2024-09-09,4,"Top quality item, very satisfied with my order.",0.5984,Positive
312,553,5,2024-07-02,3,Quality is acceptable but expected better for this price.,0.6705,Mixed Positive
313,576,4,2024-07-08,3,"Product is okay, nothing special but does the job.",-0.0462,Neutral
314,262,6,2023-11-09,2,The product broke after just one week of use.,-0.4215,Negative
315,128,10,2023-07-07,4,"Great quality and fast delivery, highly recommend.",0.7841,Positive
316,941,11,2023-01-05,4,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
317,465,10,2023-01-23,5,"Top quality item, very satisfied with my order.",0.5984,Positive
318,298,4,2023-06-26,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
319,979,12,2024-08-07,5,"Fantastic product, my whole family loves it.",0.8074,Positive
320,193,11,2023-08-05,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
321,762,17,2023-12-30,1,"Did not meet my expectations at all, very disappointed.",-0.5256,Negative
322,11,11,2023-02-09,5,"Fantastic product, my whole family loves it.",0.8074,Positive
323,130,6,2024-06-30,5,"Excellent product, works exactly as described.",0.5719,Positive
324,767,14,2024-07-06,3,Works fine but instructions were confusing.,-0.2382,Mixed Negative
325,313,16,2023-02-22,5,"Fantastic product, my whole family loves it.",0.8074,Positive
326,472,3,2024-08-19,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
327,436,1,2024-12-08,3,"Product is okay, nothing special but does the job.",-0.0462,Neutral
328,661,3,2024-11-17,5,"Excellent product, works exactly as described.",0.5719,Positive
329,623,13,2023-11-17,3,Decent quality but delivery took longer than expected.,0.0,Neutral
330,221,6,2024-09-22,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
331,234,11,2024-09-02,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
332,884,10,2024-12-15,3,Good product overall but the price is a bit high.,0.2382,Mixed Positive
333,755,7,2024-06-21,5,"Fantastic product, my whole family loves it.",0.8074,Positive
334,476,9,2024-07-15,4,"Perfect for my needs, very happy with this purchase.",0.8268,Positive
335,22,10,2023-11-24,5,"Absolutely love this product, exceeded my expectations!",0.6989,Positive
